Year,Month,Domestic,Commercial,Industrial,Street lighting,Exports to the mainland of China,All groups
2013,Jan,2675,7105,826,35,389,11030
2013,Feb,2153,6435,776,32,158,9554
2013,Mar,2408,7746,821,30,317,11321
2013,Apr,2342,7856,940,34,342,11515
2013,May,3770,9081,1023,30,475,14379
2013,Jun,4326,10002,1035,27,551,15941
2013,Jul,4690,10076,1047,32,688,16532
2013,Aug,5199,9970,1026,28,1138,17362
2013,Sep,4257,9429,981,34,918,15619
2013,Oct,3370,8814,924,35,292,13435
2013,Nov,2499,7738,879,33,266,11416
2013,Dec,2251,7430,912,37,407,11036
2014,Jan,2633,7049,803,35,374,10895
2014,Feb,2603,6342,691,33,299,9968
2014,Mar,2734,7407,836,33,454,11463
2014,Apr,2425,7943,971,31,493,11863
2014,May,3907,9382,1045,30,277,14639
2014,Jun,4664,10296,1058,29,324,16371
2014,Jul,5658,10508,1059,31,608,17864
2014,Aug,5367,10126,1071,30,533,17126
2014,Sep,5045,9798,993,33,320,16190
2014,Oct,3649,8865,967,34,270,13785
2014,Nov,2488,7787,890,32,234,11431
2014,Dec,2243,7382,896,37,227,10786
2015,Jan,2554,7113,876,35,223,10801
2015,Feb,2289,6367,762,31,169,9619
2015,Mar,2597,7562,875,34,209,11276
2015,Apr,2661,7928,871,31,234,11725
2015,May,3896,9713,1103,28,292,15032
2015,Jun,4706,10701,1127,30,338,16902
2015,Jul,5207,10172,1037,30,349,16794
2015,Aug,5535,9956,1039,31,652,17212
2015,Sep,4386,9637,1045,31,580,15679
2015,Oct,3556,8943,931,34,486,13949
2015,Nov,2841,8173,879,35,349,12277
2015,Dec,2140,7630,892,36,392,11091
2016,Jan,2677,7410,881,31,227,11227
2016,Feb,2738,6392,731,34,169,10065
2016,Mar,2799,7079,827,34,209,10948
2016,Apr,2917,8099,877,32,335,12260
2016,May,3658,9518,1041,32,418,14667
2016,Jun,4819,10348,1047,29,500,16743
2016,Jul,5350,10536,1111,28,515,17540
2016,Aug,4961,10057,1034,32,464,16549
2016,Sep,4595,9381,989,32,529,15526
2016,Oct,3858,9281,980,35,436,14589
2016,Nov,2615,7955,861,35,263,11728
2016,Dec,2131,7681,875,35,274,10996
2017,Jan,2455,7211,843,34,209,10751
2017,Feb,2205,6555,764,36,184,9743
2017,Mar,2531,7492,861,33,234,11150
2017,Apr,2614,7939,868,29,324,11773
2017,May,3128,9336,1021,32,335,13853
2017,Jun,4685,10183,1073,28,454,16423
2017,Jul,4847,10447,1024,31,616,16965
2017,Aug,5574,10423,1055,31,677,17760
2017,Sep,5244,9953,1031,31,612,16871
2017,Oct,3884,9256,910,36,436,14522
2017,Nov,2731,7665,840,34,252,11522
2017,Dec,2230,7432,906,33,497,11098
2018,Jan,2592,7503,821,38,306,11260
2018,Feb,2615,6372,769,32,191,9978
2018,Mar,2744,7556,820,31,317,11467
2018,Apr,2530,8152,880,31,450,12043
2018,May,4067,10418,1113,29,500,16127
2018,Jun,4288,10417,1051,28,169,15953
2018,Jul,5370,10334,1013,30,0,16746
2018,Aug,5040,10452,1058,31,0,16580
2018,Sep,4511,9621,948,29,68,15178
2018,Oct,3315,8790,874,35,0,13014
2018,Nov,2627,8164,864,33,0,11688
2018,Dec,2266,7911,871,34,0,11082
2019,Jan,2472,7693,832,35,0,11032
2019,Feb,2271,6783,743,31,0,9828
2019,Mar,2551,8096,827,31,0,11505
2019,Apr,2862,8745,921,31,0,12560
2019,May,3295,9660,962,29,0,13946
2019,Jun,4788,10308,1011,26,0,16133
2019,Jul,5239,11034,1033,32,0,17337
2019,Aug,5497,10497,1024,30,0,17048
2019,Sep,4879,9827,917,32,0,15656
2019,Oct,4016,9265,895,34,0,14209
2019,Nov,2698,7712,835,31,0,11276
2019,Dec,2370,7543,813,34,0,10760
2020,Jan,2255,7646,832,32,0,10765
2020,Feb,2472,6659,729,28,0,9889
2020,Mar,2701,7457,802,34,0,10993
